record_id,slice_rank,case_id,role,record_relative_l2,late_relative_l2,spectrum_high_relative_l2,receiver_relative_l2
marm_r07_interp_right_shallow,7,interp_right_shallow,interpolation,0.4829443097114563,0.593352198600769,0.825007438659668,0.540325403213501
marm_r08_extrap_deep,8,extrap_deep,outside_train_position_range,0.7000202536582947,0.9087905883789062,0.8681416511535645,0.5567649006843567
marm_r08_extrap_left,8,extrap_left,outside_train_position_range,0.5589559078216553,0.7327706813812256,0.6936761736869812,0.719784677028656
marm_r08_extrap_right,8,extrap_right,outside_train_position_range,0.48115167021751404,0.6475890278816223,0.6251406073570251,0.4855841398239136
marm_r08_interp_center,8,interp_center,interpolation,0.39135655760765076,0.5074569582939148,0.9366232752799988,0.45153170824050903
marm_r08_interp_left_deep,8,interp_left_deep,interpolation,0.4343329071998596,0.5856164693832397,0.8208723068237305,0.4042262136936188
marm_r08_interp_left_shallow,8,interp_left_shallow,interpolation,0.5081807971000671,0.6488500833511353,0.745434582233429,0.5149478912353516
marm_r08_interp_right_deep,8,interp_right_deep,interpolation,0.4826739430427551,0.668458104133606,0.712097704410553,0.4646022617816925
marm_r08_interp_right_shallow,8,interp_right_shallow,interpolation,0.4538114070892334,0.5739676356315613,0.7910626530647278,0.49591460824012756
marm_r09_extrap_deep,9,extrap_deep,outside_train_position_range,0.667732834815979,0.9092382192611694,0.9458324909210205,0.3949681222438812
marm_r09_extrap_left,9,extrap_left,outside_train_position_range,0.5995314717292786,0.695888340473175,0.7442235946655273,0.5518701076507568
marm_r09_extrap_right,9,extrap_right,outside_train_position_range,0.479632705450058,0.6320801973342896,0.6661269664764404,0.2575916051864624
marm_r09_interp_center,9,interp_center,interpolation,0.3876974582672119,0.5284388065338135,0.9334869384765625,0.3437049090862274
marm_r09_interp_left_deep,9,interp_left_deep,interpolation,0.4547838270664215,0.6687759757041931,0.8602316379547119,0.3164401948451996
marm_r09_interp_left_shallow,9,interp_left_shallow,interpolation,0.4872376322746277,0.724098801612854,0.7214317321777344,0.33556365966796875
marm_r09_interp_right_deep,9,interp_right_deep,interpolation,0.4760017693042755,0.6946366429328918,0.7028017044067383,0.38191455602645874
marm_r09_interp_right_shallow,9,interp_right_shallow,interpolation,0.4110413193702698,0.5541446805000305,0.7887066602706909,0.30382078886032104
marm_r10_extrap_deep,10,extrap_deep,outside_train_position_range,0.6791937947273254,0.8971925973892212,0.8886559009552002,0.5736798048019409
marm_r10_extrap_left,10,extrap_left,outside_train_position_range,0.5562407374382019,0.7280969619750977,0.6915755867958069,0.6375072598457336
marm_r10_extrap_right,10,extrap_right,outside_train_position_range,0.487491250038147,0.6484482884407043,0.6309873461723328,0.4474017918109894
marm_r10_interp_center,10,interp_center,interpolation,0.40842360258102417,0.5081139802932739,0.9335962533950806,0.47217753529548645
marm_r10_interp_left_deep,10,interp_left_deep,interpolation,0.4312230944633484,0.5769534707069397,0.8122197985649109,0.4441545605659485
marm_r10_interp_left_shallow,10,interp_left_shallow,interpolation,0.5295599102973938,0.6754392981529236,0.7598354816436768,0.4973321557044983
marm_r10_interp_right_deep,10,interp_right_deep,interpolation,0.4579600691795349,0.6612608432769775,0.7076770663261414,0.42584526538848877
marm_r10_interp_right_shallow,10,interp_right_shallow,interpolation,0.49515214562416077,0.6845607161521912,0.8041742444038391,0.457490473985672
marm_r11_extrap_deep,11,extrap_deep,outside_train_position_range,0.68257075548172,0.908402681350708,0.9001271724700928,0.38637059926986694
marm_r11_extrap_left,11,extrap_left,outside_train_position_range,0.6000955104827881,0.6990094780921936,0.7480168342590332,0.5457364320755005
marm_r11_extrap_right,11,extrap_right,outside_train_position_range,0.48342469334602356,0.6286372542381287,0.6752322316169739,0.2991344928741455
marm_r11_interp_center,11,interp_center,interpolation,0.38525933027267456,0.5227404832839966,0.9261230826377869,0.37591928243637085
marm_r11_interp_left_deep,11,interp_left_deep,interpolation,0.45580512285232544,0.6684302687644958,0.8596672415733337,0.26867353916168213
marm_r11_interp_left_shallow,11,interp_left_shallow,interpolation,0.47197920083999634,0.696012020111084,0.7177913784980774,0.32943636178970337
marm_r11_interp_right_deep,11,interp_right_deep,interpolation,0.44871288537979126,0.6572974324226379,0.7315587401390076,0.39018064737319946
marm_r11_interp_right_shallow,11,interp_right_shallow,interpolation,0.41843199729919434,0.534857451915741,0.7755885720252991,0.31254079937934875
marm_r12_extrap_deep,12,extrap_deep,outside_train_position_range,0.6861386299133301,0.9062477946281433,0.897299587726593,0.3983095586299896
marm_r12_extrap_left,12,extrap_left,outside_train_position_range,0.5949281454086304,0.7020410895347595,0.7481063008308411,0.5110687613487244
marm_r12_extrap_right,12,extrap_right,outside_train_position_range,0.5228855013847351,0.668158769607544,0.6767461895942688,0.42676204442977905
marm_r12_interp_center,12,interp_center,interpolation,0.4172346293926239,0.5678834915161133,0.886060357093811,0.3976173400878906
marm_r12_interp_left_deep,12,interp_left_deep,interpolation,0.45282047986984253,0.6700868606567383,0.854606568813324,0.27565327286720276
marm_r12_interp_left_shallow,12,interp_left_shallow,interpolation,0.45745745301246643,0.6767833828926086,0.6970744729042053,0.31506723165512085
marm_r12_interp_right_deep,12,interp_right_deep,interpolation,0.44247984886169434,0.6513406038284302,0.7152559757232666,0.3159923255443573
marm_r12_interp_right_shallow,12,interp_right_shallow,interpolation,0.39918044209480286,0.5367426872253418,0.7604016065597534,0.2797115743160248
marm_r13_extrap_deep,13,extrap_deep,outside_train_position_range,0.66924649477005,0.8872281312942505,0.9070980548858643,0.6075729131698608
marm_r13_extrap_left,13,extrap_left,outside_train_position_range,0.5515714287757874,0.7298708558082581,0.6890706419944763,0.605546236038208
marm_r13_extrap_right,13,extrap_right,outside_train_position_range,0.48529598116874695,0.6238347291946411,0.6532559394836426,0.49660181999206543
marm_r13_interp_center,13,interp_center,interpolation,0.45716381072998047,0.5678136348724365,0.9607106447219849,0.5797412395477295
marm_r13_interp_left_deep,13,interp_left_deep,interpolation,0.43642109632492065,0.5719443559646606,0.8003896474838257,0.4620847702026367
marm_r13_interp_left_shallow,13,interp_left_shallow,interpolation,0.5327653288841248,0.6861340403556824,0.7596684098243713,0.47179272770881653
marm_r13_interp_right_deep,13,interp_right_deep,interpolation,0.4547802209854126,0.6573020219802856,0.6808294057846069,0.37647467851638794
marm_r13_interp_right_shallow,13,interp_right_shallow,interpolation,0.6355963349342346,0.8556066155433655,0.8597785234451294,0.5254837870597839
marm_r14_extrap_deep,14,extrap_deep,outside_train_position_range,0.6881836652755737,0.9069458842277527,0.8870853781700134,0.40479370951652527
