scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,5.6,45.0,0.9770336855088576,-2.296631449114239,True
fd2,0.25,5.6,50.0,0.9762641888432444,-2.3735811156755604,True
fd2,0.25,5.6,55.0,0.9740451386010647,-2.5954861398935325,True
fd2,0.25,5.6,60.0,0.9706355805310717,-2.9364419468928316,True
fd2,0.25,5.6,65.0,0.9664368175835101,-3.3563182416489923,True
fd2,0.25,5.6,70.0,0.9619485886391983,-3.80514113608017,True
fd2,0.25,5.6,75.0,0.957711986744849,-4.2288013255150965,True
fd2,0.25,5.6,80.0,0.9542444488052118,-4.575555119478825,True
fd2,0.25,5.6,85.0,0.9519744046792294,-4.802559532077055,True
fd2,0.25,5.6,90.0,0.9511847670887147,-4.881523291128531,True
fd2,0.25,5.7,0.0,0.9528698155221905,-4.713018447780948,True
fd2,0.25,5.7,5.0,0.9536320403151781,-4.636795968482188,True
fd2,0.25,5.7,10.0,0.9558234049399642,-4.417659506003579,True
fd2,0.25,5.7,15.0,0.9591711185934018,-4.082888140659824,True
fd2,0.25,5.7,20.0,0.9632619054230673,-3.6738094576932667,True
fd2,0.25,5.7,25.0,0.9675963520451619,-3.2403647954838077,True
fd2,0.25,5.7,30.0,0.9716518880961161,-2.8348111903883866,True
fd2,0.25,5.7,35.0,0.9749455881489454,-2.5054411851054614,True
fd2,0.25,5.7,40.0,0.9770894477343276,-2.29105522656724,True
fd2,0.25,5.7,45.0,0.9778329097037692,-2.2167090296230763,True
fd2,0.25,5.7,50.0,0.9770894477343276,-2.29105522656724,True
fd2,0.25,5.7,55.0,0.9749455881489454,-2.5054411851054614,True
fd2,0.25,5.7,60.0,0.9716518880961161,-2.8348111903883866,True
fd2,0.25,5.7,65.0,0.9675963520451619,-3.2403647954838077,True
fd2,0.25,5.7,70.0,0.9632619054230673,-3.6738094576932667,True
fd2,0.25,5.7,75.0,0.9591711185934018,-4.082888140659824,True
fd2,0.25,5.7,80.0,0.9558234049399642,-4.417659506003579,True
fd2,0.25,5.7,85.0,0.9536320403151781,-4.636795968482188,True
fd2,0.25,5.7,90.0,0.9528698155221905,-4.713018447780948,True
fd2,0.25,5.8,0.0,0.954469350472219,-4.553064952778096,True
fd2,0.25,5.8,5.0,0.9552055641016536,-4.479443589834641,True
fd2,0.25,5.8,10.0,0.9573222633879812,-4.267773661201879,True
fd2,0.25,5.8,15.0,0.9605562412530801,-3.9443758746919855,True
